,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Long Term Equity Investment,Derivative Assets,Net Loan,Allowance for Loans And Lease Losses,Receivables,Prepaid Assets,Net PPE,Gross PPE,Properties,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"2,989,696,000","588,242,000","327,554,000",-,-,"327,554,000",-,"260,688,000","260,688,000","260,688,000",-,"237,200,000","1,074,115,000","11,732,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"90,059,000","277,641,000","2,792,173,000","1,679,612,000","77,340,000","237,493,000","85,351,000",-,"367,077,000","197,523,000","190,095,000",-,-,-,-,-,"7,428,000","275,446,000","190,095,000","190,095,000","275,446,000","190,095,000","85,351,000",-,"20,061,273","19,736,000",-,"325,273"
1,12/31/2022,"2,966,530,000","603,805,000","350,051,000","327,002,000","15,752,000","7,297,000",-,"253,754,000","253,754,000","253,754,000","29,254,000","284,146,000","1,060,621,000","11,522,000",-,"10,316,000","12,584,000","12,584,000",-,-,-,-,-,"12,584,000",-,"21,321,000","4,156,000","17,165,000","7,282,000","115,919,000","43,254,000","2,770,502,000","1,676,252,000","52,297,000","285,764,000","204,239,000","1,743,000","288,558,000","196,028,000","187,484,000","10,147,000","10,147,000","152,068,000","14,664,000","19,746,000","8,544,000","388,956,000","187,484,000","166,163,000","388,956,000","166,163,000","204,239,000",-,"20,293,607","19,968,334",-,"325,273"
2,9/30/2022,"2,991,965,000","591,201,000","309,505,000",-,-,"309,505,000",-,"281,696,000","281,696,000","281,696,000",-,"350,584,000","1,066,545,000","10,496,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"24,901,000","298,918,000","2,805,972,000","1,664,795,000","82,830,000","340,622,000","87,527,000",-,"371,670,000","185,993,000","177,659,000",-,-,-,-,-,"8,334,000","265,186,000","177,659,000","177,659,000","265,186,000","177,659,000","87,527,000",-,"20,293,312","19,968,039",-,"325,273"
3,6/30/2022,"2,985,420,000","616,132,000","371,681,000","363,608,000",-,"8,073,000",-,"244,451,000","244,451,000","244,451,000","29,446,000","262,923,000","1,124,785,000","10,826,000",-,"185,823,000",-,-,-,-,-,-,-,-,-,"21,625,000",-,-,-,-,-,"2,788,730,000","1,756,576,000","80,569,000","251,469,000","108,655,000",-,"173,573,000","196,690,000","188,382,000","10,188,000","10,188,000","150,417,000","14,662,000","21,691,000","8,308,000","297,037,000","188,382,000","166,757,000","297,037,000","166,757,000","108,655,000",-,"20,701,273","20,376,000",-,"325,273"
4,3/31/2022,"3,021,512,000","634,832,000","389,257,000",-,-,"389,257,000",-,"245,575,000","245,575,000","245,575,000",-,"223,371,000","1,145,468,000","11,350,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"282,872,000","2,816,854,000","1,811,471,000","81,184,000","216,353,000","85,330,000",-,"371,575,000","204,658,000","196,293,000",-,-,-,-,-,"8,365,000","281,623,000","196,293,000","196,293,000","281,623,000","196,293,000","85,330,000",-,"20,293,273","19,968,000",-,"325,273"
5,12/31/2021,"2,957,939,000","664,085,000","422,437,000","403,018,000","15,283,000","4,136,000",-,"241,648,000","241,648,000","241,648,000","29,609,000","196,882,000","1,162,031,000","11,434,000",-,"8,233,000","13,240,000","13,240,000",-,-,-,-,-,"13,240,000",-,"20,622,000","5,033,000","15,589,000","10,269,000","811,000","43,707,000","2,751,162,000","1,842,096,000","71,237,000","191,064,000","223,644,000","1,847,000","268,362,000","206,777,000","198,250,000","10,316,000","10,316,000","144,458,000","14,602,000","22,414,000","8,527,000","418,308,000","198,250,000","177,628,000","418,308,000","177,628,000","223,644,000",-,"20,957,273","20,632,000",-,"325,273"
6,9/30/2021,"2,968,791,000","620,953,000","409,918,000","409,918,000",-,0,-,"211,035,000","211,035,000","211,035,000",-,"198,533,000","1,135,651,000","11,523,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"279,461,000","2,762,102,000","1,780,530,000","89,212,000","189,169,000","82,903,000",-,"363,187,000","206,689,000","198,144,000",-,-,-,-,-,"8,545,000","281,047,000","198,144,000","198,144,000","281,047,000","198,144,000","82,903,000",-,"20,526,273","20,201,000",-,"325,273"
7,6/30/2021,"2,976,005,000","624,339,000","402,965,000","393,559,000","41,880,000","9,406,000",-,"221,374,000","221,374,000","221,374,000","28,709,000","209,516,000","1,146,397,000","12,883,000",-,"175,155,000",-,-,-,-,-,-,-,-,-,"20,703,000",-,-,-,-,"41,880,000","2,769,241,000","1,769,539,000","75,468,000","200,156,000","104,992,000",-,"168,847,000","206,764,000","198,218,000","10,376,000","10,376,000","144,319,000","14,600,000","22,414,000","8,546,000","303,210,000","198,218,000","177,515,000","303,210,000","177,515,000","104,992,000",-,"20,548,273","20,223,000",-,"325,273"
8,3/31/2021,"2,958,629,000","574,708,000","384,448,000",-,-,"384,448,000",-,"190,260,000","190,260,000","190,260,000",-,"241,048,000","1,124,080,000","13,613,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"271,726,000","2,750,913,000","1,736,762,000","85,755,000","229,599,000","96,039,000",-,"343,175,000","207,716,000","199,210,000",-,-,-,-,-,"8,506,000","295,249,000","199,210,000","199,210,000","295,249,000","199,210,000","96,039,000",-,"20,749,116","20,423,843",-,"325,273"
9,12/31/2020,"2,984,164,000","559,354,000","328,726,000","304,481,000","20,151,000","4,094,000","59,543,000","230,628,000","230,628,000","230,628,000","26,684,000","307,726,000","1,150,057,000","14,532,000","10,278,000","8,114,000","14,414,000","14,414,000",-,-,-,-,-,"14,414,000",-,"20,443,000","5,881,000","14,562,000","10,450,000","299,000","39,993,000","2,779,169,000","1,761,406,000","57,896,000","303,001,000","252,079,000","1,856,000","263,900,000","204,995,000","196,443,000","10,347,000","10,347,000","140,572,000","14,277,000","22,414,000","8,552,000","443,908,000","196,443,000","176,000,000","443,908,000","176,000,000","252,079,000",-,"20,693,621","20,368,348","1,450","325,273"
10,9/30/2020,"2,955,935,000","506,687,000","285,508,000",-,-,"285,508,000",-,"221,179,000","221,179,000","221,179,000",-,"294,678,000","1,125,194,000","13,752,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"287,466,000","2,755,674,000","1,660,453,000","80,338,000","285,239,000","102,406,000",-,"368,071,000","200,261,000","191,904,000",-,-,-,-,-,"8,357,000","294,310,000","191,904,000","191,904,000","294,310,000","191,904,000","102,406,000",-,"20,692,849","20,367,576",-,"325,273"
11,6/30/2020,"2,922,798,000","482,307,000","255,962,000","249,673,000","39,519,000","6,289,000",-,"226,345,000","226,345,000","226,345,000","24,800,000","313,781,000","1,095,696,000",-,-,"197,425,000",-,-,-,-,-,-,-,-,-,"19,438,000",-,-,-,-,"39,519,000","2,727,577,000","1,615,095,000","79,612,000","303,059,000","133,735,000",-,"152,318,000","195,221,000","187,036,000","10,346,000","10,346,000","141,809,000","14,268,000","20,914,000","8,185,000","320,771,000","187,036,000","167,598,000","320,771,000","167,598,000","133,735,000",-,"20,691,346","20,366,072",-,"325,273"
12,3/31/2020,"2,917,810,000","410,160,000","187,386,000","187,386,000",-,"187,386,000",-,"222,774,000","222,774,000","222,774,000",-,"371,283,000","1,124,829,000","10,399,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"308,586,000","2,719,539,000","1,516,033,000","74,410,000","356,616,000","99,410,000",-,"422,907,000","198,271,000","189,771,000",-,-,-,-,-,"8,500,000","289,181,000","189,771,000","189,771,000","289,181,000","189,771,000","99,410,000",-,"20,690,286","20,365,013",-,"325,273"
13,12/31/2019,"2,715,152,000","414,747,000","173,885,000","154,099,000","14,830,000","4,956,000","49,148,000","240,862,000","240,862,000","240,862,000","24,474,000","242,995,000","1,138,114,000","8,748,000","19,255,000","9,057,000","14,702,000","14,702,000",-,-,-,-,-,"14,702,000",-,"20,163,000","5,590,000","14,573,000","8,280,000","123,000","36,948,000","2,522,484,000","1,526,983,000","71,984,000","239,497,000","272,428,000","2,244,000","278,697,000","192,668,000","183,955,000","10,319,000","10,319,000","136,679,000","13,959,000","20,871,000","8,713,000","451,779,000","183,955,000","163,792,000","451,779,000","163,792,000","272,428,000","93,939,000","20,963,798","20,638,525","1,450","325,273"
14,9/30/2019,"2,728,347,000","366,022,000","151,185,000","151,185,000",-,"151,185,000",-,"214,837,000","214,837,000","214,837,000",-,"283,945,000","1,088,632,000","8,609,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"274,932,000","2,530,560,000","1,437,180,000","89,378,000","278,374,000","98,486,000",-,"367,577,000","197,787,000","189,517,000",-,-,-,-,-,"8,270,000","288,003,000","189,517,000","189,517,000","288,003,000","189,517,000","98,486,000",-,"20,585,564","20,260,290",-,"325,273"
15,6/30/2019,"2,751,273,000","412,842,000","179,763,000","171,090,000","36,492,000","8,673,000",-,"233,079,000","233,079,000","233,079,000","23,892,000","233,621,000","1,104,029,000","8,536,000","168,880,000","168,880,000",-,-,-,-,-,-,-,-,-,"25,733,000",-,-,-,-,"36,492,000","2,550,399,000","1,451,175,000","94,149,000","229,903,000","126,557,000",-,"220,989,000","200,874,000","192,676,000","10,281,000","10,281,000","142,593,000","13,998,000","22,367,000","8,198,000","319,233,000","192,676,000","166,943,000","319,233,000","166,943,000","126,557,000",-,"20,562,429","20,237,156",-,"325,273"
16,3/31/2019,"2,658,996,000","399,760,000","172,731,000","172,731,000",-,"172,731,000",-,"227,029,000","227,029,000","227,029,000",-,"213,093,000","1,076,860,000","8,563,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"255,765,000","2,462,668,000","1,422,355,000","92,290,000","210,978,000","99,038,000",-,"387,421,000","196,328,000","188,362,000",-,-,-,-,-,"7,966,000","287,400,000","188,362,000","188,362,000","287,400,000","188,362,000","99,038,000",-,"20,419,683","20,094,409",-,"325,273"
17,12/31/2018,"2,558,124,000","425,187,000","182,383,000","162,843,000","13,753,000","5,787,000","33,202,000","242,804,000","242,804,000","242,804,000","22,407,000","207,825,000","1,085,601,000","8,638,000","18,338,000","8,715,000","10,060,000","10,060,000",-,-,-,-,-,"10,060,000",-,"24,357,000","12,986,000","11,371,000","7,934,000","735,000","33,666,000","2,363,875,000","1,451,462,000","70,946,000","205,835,000","229,626,000","2,197,000","285,347,000","194,249,000","186,253,000","10,180,000","10,180,000","138,191,000","13,609,000","22,367,000","7,996,000","415,879,000","186,253,000","161,896,000","415,879,000","161,896,000","229,626,000","47,243,000","20,360,841","20,035,568","1,450","325,273"
18,9/30/2018,"2,603,035,000","376,871,000","166,843,000","166,843,000",-,"166,843,000",-,"210,028,000","210,028,000","210,028,000",-,"216,137,000","1,065,674,000","8,497,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"257,668,000","2,409,803,000","1,408,048,000","80,512,000","209,400,000","82,095,000",-,"384,919,000","193,232,000","185,351,000",-,-,-,-,-,"7,881,000","267,446,000","185,351,000","185,351,000","267,446,000","185,351,000","82,095,000",-,"20,253,064","19,927,790",-,"325,273"
19,6/30/2018,"2,607,314,000","406,027,000","197,923,000","189,842,000","35,754,000","8,081,000",-,"208,104,000","208,104,000","208,104,000","22,572,000","227,972,000","1,057,367,000","8,750,000","153,048,000","153,048,000",-,-,-,-,-,-,-,-,-,"23,722,000",-,-,-,-,"35,754,000","2,416,020,000","1,421,099,000","83,845,000","222,961,000","104,312,000",-,"194,049,000","191,294,000","183,607,000","10,159,000","10,159,000","140,908,000","9,774,000","20,573,000","7,687,000","287,919,000","183,607,000","159,885,000","287,919,000","159,885,000","104,312,000",-,"20,288,273","19,963,000",-,"325,273"
